Nummer,Titel,Mode,Genre,Publisher,Developer,Release,Version,Players
SWJ-BANC26,Inu Yasha: Fuun Emaki,Farbe,Adventure,Bandai,Bandai,27.07.2002,Crystal,2
SWJ-BANC27,Yakusoku no Chi Riviera,Farbe,RPG,Bandai,Sting,12.07.2002,Crystal,1
SWJ-BANC28,Namco Super Wars,Farbe,Adventure,Bandai,Gantan,31.10.2002,Crystal,1
SWJ-BANC29,One Piece Grand Battle: Swan Colosseum,Farbe,Fighting,Bandai,Dimps,12.07.2002,Crystal,2
SWJ-BANC2A,Arc The Lad: Kijin Fukkatsu,Farbe,RPG,Bandai,TOSE ,04.07.2002,Crystal,1
SWJ-BANC2B, Golden Axe,Farbe,Beat'em Up,Bandai,Bandai,28.02.2002,Color,2
SWJ-BANC2C,X - Card of Fate,Farbe,Adventure,Bandai,Access ,27.06.2002,Color,
SWJ-BANC2D,Shaman King: Mirai e no Ishi,Farbe,RPG,Bandai,Graphic Research,29.08.2002,Crystal,2
SWJ-BANC2E,Digital Monsters - D Project,Farbe,RPG,Bandai,Sting,03.08.2002,Crystal,2
SWJ-BANC2F,SD Gundam G Generation - Mono-Eye Gundams,Farbe,Strategy,Bandai,Vanguard Works,26.09.2002,Crystal,2
SWJ-BANC30,Battle Spirit: Digimon Tamers Ver 1.5,Farbe,Fighting,Bandai,Dimps,27.04.2002,Color,
SWJ-BANC31,Battle Spirit - Digimon Frontier,Farbe,Fighting,Bandai,Dimps,07.02.2003,Crystal,2
SWJ-BANC32,Inu Yasha: Kagome no Yume Nikki,Farbe,RPG,Bandai, Tomcat System,16.11.2002,Crystal,1
SWJ-BANC33,From TV Animation One Piece - Treasure Wars 2,Farbe,RPG,Bandai,Graphic Research,20.12.2002,Crystal,4
SWJ-BANC34,Kinnikuman Second Generation - Choujin Seisenshi,Farbe,RPG,Bandai,Bandai,30.01.2003,Crystal,2
SWJ-BANC35,Rockman EXE WS,Farbe,Platformer,Bandai,Capcom,08.02.2003,Crystal,1
SWJ-BANC36,Kidou Senshi Gundam Seed,Farbe,Action,Bandai,Bandai,15.03.2003,Color,
SWJ-BANC38,Naruto - Konoha Ninpouchou,Farbe,Action,Bandai,Bec,27.03.2003,Crystal,2
SWJ-BANC39,Hunter X Hunter - Greed Island,Farbe,RPG,Bandai,Access ,24.04.2003,Crystal,1
